date,unit_nav
2026-05-25,4.9198
2026-05-26,5.0323
2026-05-27,5.06
2026-05-28,5.0132
2026-05-29,4.966
2026-06-01,4.9475
2026-06-02,4.9847
2026-06-03,4.9847
2026-06-05,5.1008
2026-06-09,4.359
2026-06-10,4.8069
2026-06-11,4.6321
2026-06-12,4.7587
2026-06-16,5.15
2026-06-17,5.1337
2026-06-18,5.3346
2026-06-19,5.523
2026-06-22,5.523
2026-06-23,5.6724
2026-06-24,5.2472
2026-06-25,5.4764
2026-06-26,5.7738
2026-06-29,5.584
2026-06-30,5.71
2026-07-01,5.8583
2026-07-02,5.7041
2026-07-03,5.1224
2026-07-06,5.2295
2026-07-07,5.2065
2026-07-08,5.0634
2026-07-09,4.9561
2026-07-10,5.3205
2026-07-13,5.178
2026-07-14,4.8532
2026-07-15,4.9526
2026-07-16,4.9969
2026-07-17,4.6136
2026-07-20,4.4594
2026-07-21,4.3118
2026-07-22,4.6692
2026-07-23,4.6195
2026-07-24,4.5784
