date,unit_nav,daily_return_pct
2026-02-06,1.7124,0.8
2026-02-09,1.7495,2.17
2026-02-10,1.7663,0.96
2026-02-11,1.7811,0.84
2026-02-12,1.8198,2.17
2026-02-13,1.797,-1.25
2026-02-24,1.8312,1.9
2026-02-25,1.8906,3.24
2026-02-26,1.9303,2.1
2026-02-27,1.9644,1.77
2026-03-02,1.9864,1.12
2026-03-03,1.9093,-3.88
2026-03-04,1.9301,1.09
2026-03-05,1.9625,1.68
2026-03-06,1.9911,1.46
2026-03-09,1.9697,-1.07
2026-03-10,2.0306,3.09
2026-03-11,2.042,0.56
2026-03-12,1.9867,-2.71
2026-03-13,1.9122,-3.75
2026-03-16,1.8892,-1.2
2026-03-17,1.8324,-3.01
2026-03-18,1.8564,1.31
2026-03-19,1.8129,-2.34
2026-03-20,1.7759,-2.04
2026-03-23,1.698,-4.39
2026-03-24,1.7316,1.98
2026-03-25,1.7728,2.38
2026-03-26,1.7148,-3.27
2026-03-27,1.7499,2.05
2026-03-30,1.7465,-0.19
2026-03-31,1.7108,-2.04
2026-04-01,1.7461,2.06
2026-04-02,1.692,-3.1
2026-04-03,1.6937,0.1
2026-04-07,1.7018,0.48
